Trimestre,PIB,Sector Primario,Sector Secundario,Sector Terciario,INPC,PIB_INDICE
2001-T2,12967530.19,"443,464","4,490,483","7,533,364",49.33,70.46
2001-T3,12857408.65,"381,686","4,712,174","7,271,808",49.95,69.86
2001-T4,12901429.21,"497,817","4,533,895","7,394,929",50.43,70.1
2002-T1,12415541.45,"419,345","4,399,845","7,120,331",51.13,67.46
2002-T2,13112362.76,"438,028","4,508,189","7,662,738",51.76,71.24
2002-T3,12889950.08,"378,747","4,626,350","7,383,365",52.42,70.03
2002-T4,13084104.38,"480,004","4,565,219","7,536,530",53.31,71.09
2003-T1,12803323.69,"434,336","4,545,573","7,344,914",54.01,69.56
2003-T2,13182930.05,"453,703","4,560,262","7,662,277",53.98,71.63
2003-T3,12954912.94,"393,341","4,671,154","7,382,352",54.54,70.39
2003-T4,13305707.41,"500,492","4,641,100","7,646,916",55.43,72.29
2004-T1,13252629.58,"464,247","4,726,022","7,559,618",56.3,72
2004-T2,13732336,"457,608","4,765,953","7,977,286",56.33,74.61
2004-T3,13438260.1,"379,137","4,823,286","7,705,560",57.3,73.01
2004-T4,13872034.55,"522,891","4,812,482","8,008,659",58.31,75.37
2005-T1,13354787.87,"434,628","4,744,525","7,657,939",58.77,72.56
2005-T2,14104833.95,"433,368","4,922,286","8,198,772",58.77,76.63
2005-T3,13782144.44,"396,089","4,887,200","7,957,210",59.31,74.88
2005-T4,14306523.82,"493,310","4,985,028","8,280,532",60.25,77.73
2006-T1,14107960.02,"451,479","5,001,067","8,098,379",60.77,76.65
2006-T2,14700503.92,"474,684","5,091,627","8,544,532",60.64,79.87
2006-T3,14435867.71,"390,257","5,153,343","8,308,530",61.74,78.43
2006-T4,14800897.34,"551,323","5,099,882","8,560,431",62.69,80.42
2007-T1,14393727.37,"470,660","5,074,114","8,279,971",63.33,78.2
2007-T2,14993339.39,"502,518","5,137,437","8,752,015",63.06,81.46
2007-T3,14783298.24,"409,410","5,163,809","8,610,332",64.08,80.32
2007-T4,15204938.91,"564,140","5,159,071","8,894,379",65.05,82.61
2008-T1,14563428.38,"455,914","5,057,545","8,466,205",66.02,79.13
2008-T2,15386334.05,"512,043","5,169,344","9,074,132",66.37,83.6
2008-T3,14979494.72,"401,707","5,091,513","8,866,689",67.58,81.39
2008-T4,15125053.57,"576,197","5,000,531","8,939,207",69.3,82.18
2009-T1,13752148.81,"450,979","4,607,884","8,148,892",70.01,74.72
2009-T2,14012937.56,"504,523","4,618,873","8,341,732",70.18,76.14
2009-T3,14231941.45,"397,486","4,740,762","8,509,276",70.89,77.33
2009-T4,14882965.69,"551,636","4,832,428","8,889,717",71.77,80.86
2010-T1,14371721.49,"442,771","4,813,774","8,550,627",73.49,78.08
2010-T2,14998399.35,"533,488","4,926,460","8,939,808",72.77,81.49
2010-T3,14921452.8,"420,307","4,941,622","8,955,607",73.52,81.07
2010-T4,15499605.15,"555,550","4,970,880","9,358,707",74.93,84.21
2011-T1,14902733.12,"439,332","4,888,592","8,985,048",75.72,80.97
2011-T2,15413046.44,"466,689","5,022,410","9,307,079",75.16,83.74
2011-T3,15526015.33,"421,549","5,081,999","9,397,661",75.82,84.36
2011-T4,16139539.51,"551,076","5,219,678","9,722,072",77.79,87.69
2012-T1,15619752.73,"455,690","5,111,751","9,442,920",78.55,84.87
2012-T2,16027465.37,"524,425","5,192,600","9,686,679",78.41,87.08
2012-T3,15952811.26,"422,535","5,245,821","9,649,826",79.44,86.68
2012-T4,16638865.24,"595,412","5,237,468","10,158,843",80.57,90.4
2013-T1,15719787.08,"459,092","5,069,711","9,584,386",81.89,85.41
2013-T2,16361863.81,"543,498","5,203,388","9,980,890",81.62,88.9
2013-T3,16186108.68,"427,916","5,199,165","9,915,223",82.13,87.94
2013-T4,16840988.75,"613,117","5,268,986","10,305,108",83.77,91.5
2014-T1,16162067.94,"483,219","5,204,588","9,830,087",84.97,87.81
2014-T2,16743444.54,"558,284","5,334,824","10,183,524",84.68,90.97
2014-T3,16649896.22,"453,280","5,325,273","10,194,914",85.6,90.46
2014-T4,17408791.32,"625,467","5,410,235","10,664,935",87.19,94.59
2015-T1,16710227.39,"509,039","5,276,365","10,257,316",87.63,90.79
2015-T2,17261231.33,"566,863","5,345,025","10,648,227",87.11,93.78
2015-T3,17331652.27,"453,569","5,473,292","10,681,221",87.75,94.17
2015-T4,17866321.59,"634,647","5,414,567","11,057,524",89.05,97.07
2016-T1,17166317.58,"513,011","5,332,205","10,602,251",89.91,93.27
2016-T2,17780958.55,"583,931","5,418,510","11,024,860",89.32,96.61
2016-T3,17625592.07,"474,164","5,403,248","10,972,466",90.36,95.76
